date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:40	55789/55789	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2010:37:38%20GMT	https://www.birmingham.ac.uk/index.aspx	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/index.html	(from )
16:30:41	384/384	---M-Z	200	added ('OK')	text/plain	date:Mon,%2008%20Feb%202021%2010:31:17%20GMT	https://www.birmingham.ac.uk/robots.txt		(from )
16:30:42	240529/240529	---M--	200	added ('OK')	image/jpeg	etag:c01de2b1	https://www.birmingham.ac.uk/Images/website/HomePageFeatures/responsive/hero-image-test-1-bpz.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/Images/website/HomePageFeatures/responsive/hero-image-test-1-bpz.jpg	(from https://www.birmingham.ac.uk/index.aspx)
16:30:43	93113/93113	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2006%20Sep%202022%2010:33:23%20GMT	https://www.birmingham.ac.uk/WebResource.axd?d=PjUm9HYMtFaBv1w8LgD13ZkbESHCS1IUQXedqnykwWfIdWzWzk5PqHeKQAYIKMFS3QTQjwlB7kFhK0_YeKdp4fKvZwc9LKjbd2RlCeQx5ZHnG0if0&t=637980599807155231&build=153156	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/WebResourcee96c.js	(from https://www.birmingham.ac.uk/index.aspx)
16:30:44	394364/394364	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20May%202022%2009:10:18%20GMT	https://www.birmingham.ac.uk/assets/css/styles.css?versionId=2069919	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/assets/css/stylesae3f.css	(from https://www.birmingham.ac.uk/index.aspx)
16:30:45	11251/11251	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Jan%202022%2017:52:05%20GMT	https://www.birmingham.ac.uk/assets/js/vendor/modernizr.js?versionId=2053612	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/assets/js/vendor/modernizr77be.js	(from https://www.birmingham.ac.uk/index.aspx)
16:30:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Oct%202022%2011:01:33%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.googletagmanager.com/gtm.55445.delayed	(from https://www.birmingham.ac.uk/index.aspx)
16:30:46	41486/41486	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2010:48:32%20GMT	https://www.birmingham.ac.uk/university/hefi/index.aspx	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/university/hefi/index.html	(from https://www.birmingham.ac.uk/index.aspx)
16:30:47	40113/40113	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2010:42:40%20GMT	https://www.birmingham.ac.uk/alumni/index.aspx	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/alumni/index.html	(from https://www.birmingham.ac.uk/index.aspx)
16:30:49	210975/210975	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2011:01:38%20GMT	https://www.birmingham.ac.uk/events/index.aspx	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web11/Site11/www.birmingham.ac.uk/events/index.html	(from https://www.birmingham.ac.uk/index.aspx)
